η_к_полн,π_к_полн,η_к_полн_0,π_к_полн_0,pi_rel_error,d1_отн,c_а1_отн,с_а_отн,Hт_ср_отн,H_т1,R_ср1,D_type,N_stupeney
0.8672368569202878,18.200000000000003,0.8338097173818555,18.2,1.952040482857418e-16,0.3,0.48333333333333334,0.4833333333333333,0.1,0.25,0.5,D_вт_const,71
0.8672368569202878,18.2,0.8338097173818555,18.2,0.0,0.3,0.48333333333333334,0.4833333333333333,0.2,0.15,0.5,D_ср_const,39
0.8672368569202878,18.2,0.8338097173818555,18.2,0.0,0.39999999999999997,0.48333333333333334,0.4833333333333333,0.2,0.15,0.5,D_вт_const,31
0.8672368569202878,18.200000000000003,0.8338097173818555,18.2,1.952040482857418e-16,0.39999999999999997,0.48333333333333334,0.4833333333333333,0.2,0.25,0.5,D_ср_const,38
0.8672368569202878,18.2,0.8338097173818555,18.2,0.0,0.6,0.48333333333333334,0.4833333333333333,0.2,0.18333333333333332,0.5,D_вт_const,22
0.8672368569202877,18.200000000000003,0.8338097173818555,18.2,1.952040482857418e-16,0.39999999999999997,0.48333333333333334,0.4833333333333333,0.1,0.25,0.5,D_вт_const,62
0.8672368569202877,18.2,0.8338097173818555,18.2,0.0,0.5,0.48333333333333334,0.4833333333333333,0.1,0.18333333333333332,0.5,D_вт_const,53
0.8672368569202877,18.200000000000003,0.8338097173818555,18.2,1.952040482857418e-16,0.5,0.48333333333333334,0.4833333333333333,0.30000000000000004,0.15,0.5,D_вт_const,18
0.8672368569202877,18.2,0.8338097173818555,18.2,0.0,0.5,0.48333333333333334,0.4833333333333333,0.30000000000000004,0.21666666666666667,0.5,D_ср_const,23
0.8672368569202877,18.2,0.8338097173818555,18.2,0.0,0.5,0.48333333333333334,0.4833333333333333,0.4,0.21666666666666667,0.5,D_ср_const,17
0.8672368569202877,18.2,0.8338097173818555,18.2,0.0,0.6,0.48333333333333334,0.4833333333333333,0.1,0.25,0.5,D_ср_const,61
0.8672368569202877,18.2,0.8338097173818555,18.2,0.0,0.6,0.48333333333333334,0.4833333333333333,0.2,0.15,0.5,D_вт_const,22
0.8672368569202877,18.2,0.8338097173818555,18.2,0.0,0.6,0.48333333333333334,0.4833333333333333,0.2,0.15,0.5,D_ср_const,30
0.8672368569202877,18.2,0.8338097173818555,18.2,0.0,0.6,0.48333333333333334,0.4833333333333333,0.30000000000000004,0.25,0.5,D_вт_const,15
0.8672368569202877,18.2,0.8338097173818555,18.2,0.0,0.6,0.48333333333333334,0.4833333333333333,0.4,0.21666666666666667,0.5,D_вт_const,11
0.8672368569202877,18.2,0.8338097173818555,18.2,0.0,0.6,0.48333333333333334,0.4833333333333333,0.4,0.25,0.5,D_вт_const,11
